id,name,age,active,city,score
1,user1,26,true,seoul,62.75
2,user2,49,true,daegu,82.58
3,user3,31,false,seoul,94.67
4,user4,42,true,seoul,84.79
5,user5,35,true,busan,79.56
6,user6,24,true,seoul,51.12
7,user7,59,true,daegu,84.32
8,user8,45,true,daejeon,61.08
9,user9,46,true,daejeon,61.65
10,user10,32,true,daegu,97.61
11,user11,19,true,daejeon,96.11
12,user12,24,false,incheon,56.04
13,user13,39,true,daejeon,96.82
14,user14,45,true,busan,65.17
15,user15,55,true,daegu,92.31
16,user16,50,true,seoul,74.01
17,user17,65,true,daegu,83.24
18,user18,41,true,incheon,54.32
19,user19,60,true,busan,76.05
20,user20,43,true,seoul,73.47
21,user21,37,true,daejeon,79.66
22,user22,43,true,busan,75.11
23,user23,18,true,daejeon,96.0
24,user24,53,false,daejeon,67.19
25,user25,54,true,incheon,82.96
26,user26,56,true,seoul,69.18
27,user27,65,true,busan,75.93
28,user28,53,false,seoul,74.06
29,user29,41,true,busan,97.05
30,user30,44,true,incheon,70.72
31,user31,18,true,daejeon,89.32
32,user32,39,true,seoul,90.23
33,user33,58,false,daejeon,59.04
34,user34,23,true,incheon,51.62
35,user35,61,false,seoul,72.65
36,user36,35,false,seoul,89.86
37,user37,29,true,seoul,58.37
38,user38,34,true,busan,82.83
39,user39,59,true,daegu,85.13
40,user40,49,true,seoul,65.6
41,user41,39,true,busan,62.92
42,user42,34,true,daejeon,98.84
43,user43,56,true,seoul,61.27
44,user44,43,false,busan,72.28
45,user45,50,true,daejeon,91.61
46,user46,58,true,daejeon,72.54
47,user47,51,true,daegu,83.75
48,user48,38,true,daegu,52.94
49,user49,37,false,busan,93.78
50,user50,37,false,seoul,65.52
51,user51,37,true,daegu,78.25
52,user52,26,false,seoul,79.53
53,user53,31,true,daejeon,73.04
54,user54,63,true,seoul,68.9
55,user55,40,false,daejeon,83.71
56,user56,45,true,daegu,55.22
57,user57,60,true,daejeon,74.99
58,user58,38,true,daegu,94.98
59,user59,19,false,incheon,90.56
60,user60,54,true,incheon,71.46
61,user61,35,true,daegu,96.61
62,user62,40,true,daejeon,74.22
63,user63,52,false,seoul,54.23
64,user64,28,false,daejeon,60.65
65,user65,39,true,incheon,68.41
66,user66,39,false,busan,93.37
67,user67,56,true,daegu,56.77
68,user68,53,true,incheon,51.96
69,user69,22,true,busan,91.43
70,user70,39,false,daejeon,89.1
71,user71,42,false,daejeon,61.19
72,user72,23,true,incheon,94.54
73,user73,54,true,seoul,72.89
74,user74,35,false,seoul,91.39
75,user75,18,true,seoul,54.58
76,user76,25,true,seoul,59.4
77,user77,55,true,seoul,72.55
78,user78,61,false,seoul,71.76
79,user79,42,true,daejeon,95.46
80,user80,36,true,daegu,65.72
81,user81,31,true,seoul,51.36
82,user82,36,true,incheon,72.49
83,user83,38,true,seoul,95.67
84,user84,56,true,seoul,62.5
85,user85,57,true,daejeon,93.38
86,user86,48,true,incheon,59.16
87,user87,31,true,busan,68.02
88,user88,35,false,daegu,54.52
89,user89,54,true,busan,69.52
90,user90,37,false,busan,65.84
91,user91,55,true,incheon,62.29
92,user92,24,true,daejeon,90.38
93,user93,23,false,seoul,90.41
94,user94,43,false,daejeon,93.38
95,user95,64,false,seoul,64.54
96,user96,40,true,busan,55.05
97,user97,38,false,busan,58.98
98,user98,27,true,incheon,65.28
99,user99,63,true,daejeon,64.67
100,user100,31,false,seoul,88.99
101,user101,57,true,daejeon,92.04
102,user102,65,true,busan,58.91
103,user103,45,true,seoul,85.74
104,user104,60,false,seoul,84.1
105,user105,46,true,daejeon,62.51
106,user106,46,true,daegu,50.54
107,user107,39,false,daegu,51.22
108,user108,59,true,daejeon,50.95
109,user109,62,true,busan,79.68
110,user110,26,false,incheon,69.89
111,user111,43,false,seoul,61.68
112,user112,18,false,incheon,75.04
113,user113,59,true,busan,61.92
114,user114,49,true,busan,85.64
115,user115,39,true,incheon,98.62
116,user116,32,false,seoul,88.16
117,user117,59,true,busan,75.58
118,user118,31,true,incheon,92.45
119,user119,41,false,daegu,79.73
120,user120,25,true,daejeon,78.56
121,user121,29,false,daegu,60.88
122,user122,54,true,seoul,74.75
123,user123,43,true,incheon,69.2
124,user124,28,true,seoul,76.21
125,user125,23,true,seoul,63.38
126,user126,23,true,busan,98.46
127,user127,57,true,seoul,72.25
128,user128,33,true,daegu,97.0
129,user129,45,true,incheon,71.91
130,user130,57,true,busan,55.96
131,user131,56,true,seoul,83.03
132,user132,35,false,daejeon,50.2
133,user133,30,true,daejeon,51.05
134,user134,58,true,busan,91.77
135,user135,31,false,busan,77.12
136,user136,35,true,incheon,91.62
137,user137,46,true,busan,77.27
138,user138,49,true,seoul,88.45
139,user139,54,true,busan,64.2
140,user140,24,true,seoul,55.9
141,user141,65,false,incheon,98.25
142,user142,64,true,busan,53.76
143,user143,41,true,incheon,71.86
144,user144,61,true,daejeon,66.18
145,user145,25,true,daegu,67.51
146,user146,52,true,daejeon,74.61
147,user147,59,true,daegu,60.2
148,user148,18,true,daejeon,86.11
149,user149,65,true,daejeon,59.94
150,user150,47,true,daejeon,70.45
151,user151,65,true,incheon,85.14
152,user152,46,true,daejeon,59.87
153,user153,51,false,daegu,78.97
154,user154,43,true,daejeon,79.22
155,user155,64,true,seoul,74.64
156,user156,65,false,incheon,81.48
157,user157,44,true,busan,81.69
158,user158,43,true,busan,88.37
159,user159,56,false,incheon,89.91
160,user160,44,true,daejeon,65.18
161,user161,47,true,daegu,58.48
162,user162,50,false,daejeon,54.93
163,user163,55,true,incheon,53.35
164,user164,46,false,daejeon,85.51
165,user165,28,true,daegu,81.8
166,user166,35,true,busan,76.4
167,user167,33,true,incheon,53.43
168,user168,62,true,daejeon,82.94
169,user169,47,true,seoul,58.43
170,user170,59,true,daejeon,63.49
171,user171,57,true,daegu,78.05
172,user172,29,true,incheon,93.34
173,user173,39,true,incheon,98.19
174,user174,63,false,seoul,92.59
175,user175,57,true,daegu,96.66
176,user176,33,true,busan,53.63
177,user177,64,false,daejeon,72.18
178,user178,64,false,incheon,72.97
179,user179,28,false,busan,94.69
180,user180,46,true,daegu,62.02
181,user181,63,false,incheon,53.41
182,user182,32,true,daegu,96.43
183,user183,29,false,daejeon,51.16
184,user184,31,true,daegu,85.2
185,user185,64,true,daejeon,72.11
186,user186,60,true,seoul,80.66
187,user187,29,false,daegu,61.66
188,user188,46,true,busan,98.67
189,user189,33,true,daegu,77.35
190,user190,42,false,incheon,66.51
191,user191,55,false,busan,99.72
192,user192,20,false,seoul,92.88
193,user193,38,true,daejeon,64.36
194,user194,30,true,busan,89.69
195,user195,19,false,busan,93.82
196,user196,52,false,daegu,62.71
197,user197,23,true,incheon,95.3
